"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dataframe_name"
"46","HSPA1B",2.09000154012436e-12,-2.01513099148168,0.135,0.289,4.00945895457458e-08,"Intermediate monocytes"
"47","CLEC4E",5.11693294510993e-12,-0.810583484863148,0.53,0.607,9.81632416189888e-08,"Intermediate monocytes"
"48","JUN",7.95776810728896e-12,-1.0711883481188,0.378,0.577,1.52661823370231e-07,"Intermediate monocytes"
"49","TMEM176B",1.07423988555832e-11,1.45189245231211,0.466,0.263,2.06082179645507e-07,"Intermediate monocytes"
"50","HIATL1",4.19075944367781e-10,-0.873434768563694,0.458,0.58,8.03955291675151e-06,"Intermediate monocytes"
"51","IFI44L",1.84566970698587e-09,-1.35627950932812,0.167,0.323,3.54073276588168e-05,"Intermediate monocytes"
"52","TMEM176A",1.75491156079976e-08,1.32774076178252,0.383,0.229,0.000336662233823826,"Intermediate monocytes"
"53","NAMPT",6.33911072413537e-08,-0.83041103119769,0.862,0.994,0.00121609500131813,"Low-density granulocytes"
"54","RPS26",3.44714449167563e-41,-1.16115023807664,0.975,1,6.61300199283052e-37,"Naive CD4+ cells C3"
"55","MT-ND5",3.12298587768683e-36,-0.913989561275365,0.898,0.965,5.99113610775442e-32,"Naive CD4+ cells C3"
"56","MTRNR2L8",1.11052469134611e-23,2.95064035868744,0.329,0.115,2.13043056787838e-19,"Naive CD4+ cells C3"
"57","DDIT4",4.90261967892711e-11,1.32942937958435,0.37,0.172,9.40518559205376e-07,"Naive CD4+ cells C3"
"58","SH3YL1",1.15565657744912e-08,1.2660679288843,0.323,0.167,0.000221701157817839,"Naive CD4+ cells C3"
"59","SAMD3",1.27897840360535e-06,-1.08117746251183,0.144,0.286,0.024535921694765,"Naive CD4+ cells C3"
"60","RPS26",4.02723513923574e-24,-1.27153175988299,0.976,0.988,7.72584789110985e-20,"Naive CD4+ cells C7"
"61","MT-ND5",4.68499319771706e-17,-0.855956148526885,0.924,0.983,8.9876909505004e-13,"Naive CD4+ cells C7"
"62","MTRNR2L8",1.13820661720518e-13,2.83613284240621,0.28,0.12,2.18353557444641e-09,"Naive CD4+ cells C7"
"63","MTRNR2L8",6.2879085060326e-15,3.03352997298384,0.334,0.135,1.20627236779729e-10,"Naive CD4+ cells C9"
"64","RPS26",7.47584304199109e-12,-0.984822280253566,0.97,0.987,1.43416572917557e-07,"Naive CD4+ cells C9"
"65","DDIT4",2.40387134509027e-09,1.78920126432631,0.302,0.1,4.61158678842117e-05,"Naive CD4+ cells C9"
"66","JUN",4.19914905065428e-08,-1.85004913843344,0.112,0.31,0.000805564753877517,"Naive CD4+ cells C9"
"67","MTRNR2L8",1.27075236897322e-10,3.44478780120189,0.387,0.11,2.43781134463823e-06,"Naive CD8+"
"68","JUN",1.33696936716436e-15,-1.94336615857475,0.23,0.487,2.5648420339681e-11,"NK CD56 bright"
"69","MYOM2",4.12216366355322e-15,-1.83287008384144,0.264,0.581,7.9079587721605e-11,"NK CD56 bright"
"70","CD3E",2.70311243774133e-08,1.1139218244872,0.531,0.34,0.000518565090056297,"NK CD56 bright"
"71","MYOM2",3.30828784746761e-97,-2.35977092362368,0.29,0.548,6.34661940658186e-93,"NK CD56 dim"
